QP,SKIP,RE,mean_time
0,0,0,0.7148727090330795
0,0,1,0.6345929850274697
0,0,2,0.542840972869657
0,0,3,0.4634781830403954
0,1,0,0.6245466343937442
0,1,1,0.5515725653003901
0,1,2,0.4740598592059687
0,1,3,0.4203110768171027
0,2,0,0.5800417462643236
0,2,1,0.5108696514992044
0,2,2,0.4470962287364528
0,2,3,0.4027382504157722
0,3,0,0.5234564347621053
0,3,1,0.4570973689053208
0,3,2,0.40675510200671855
0,3,3,0.37260108694806693
1,0,0,0.6918937517739833
1,0,1,0.6251644716076553
1,0,2,0.5398485942305997
1,0,3,0.46278995389956984
1,1,0,0.6021085354713723
1,1,1,0.5397645713472738
1,1,2,0.47035352307558065
1,1,3,0.41885652650613336
1,2,0,0.5525218377318234
1,2,1,0.4978751650778577
1,2,2,0.4423495859522373
1,2,3,0.4013236941760406
1,3,0,0.492505008995533
1,3,1,0.44440811942331493
1,3,2,0.40139274493232374
1,3,3,0.37129990105144683
2,0,0,0.6752100387122483
2,0,1,0.6187863290943206
2,0,2,0.5373140422524885
2,0,3,0.4617304956167937
2,1,0,0.5823738539861515
2,1,1,0.5329407022651286
2,1,2,0.4678025464043021
2,1,3,0.41796602303348485
2,2,0,0.532934186941944
2,2,1,0.49018347242102034
2,2,2,0.43968773028533903
2,2,3,0.3998835820760578
2,3,0,0.47434410851541914
2,3,1,0.43523962828889495
2,3,2,0.398002456381917
2,3,3,0.369937425785698
3,0,0,0.6667660179678352
3,0,1,0.6147825242755935
3,0,2,0.5354615719961003
3,0,3,0.46141186403762546
3,1,0,0.5716716731609777
3,1,1,0.5260955204097554
3,1,2,0.46562838014680896
3,1,3,0.41749582211114467
3,2,0,0.5223549866322429
3,2,1,0.4841166138984263
3,2,2,0.43791507688350984
3,2,3,0.39911573363933717
3,3,0,0.4618973960308358
3,3,1,0.4286643446348608
3,3,2,0.3953903303295374
3,3,3,0.36894845389388503
4,0,0,0.6564509478053079
4,0,1,0.6100991394985468
4,0,2,0.5338173720939084
4,0,3,0.4606028783852235
4,1,0,0.5627929500723258
4,1,1,0.5228532875422388
4,1,2,0.46394636393617844
4,1,3,0.4165742747318
4,2,0,0.5128841002061963
4,2,1,0.4797169856932015
4,2,2,0.4358189656622708
4,2,3,0.3980526794604957
4,3,0,0.45405648780334745
4,3,1,0.4235534407794476
4,3,2,0.39369829052779826
4,3,3,0.36817187347728764
